150622208	0	970	20415	28850	20513
150622315	0	937	20419	28831	20532
150622408	0	956	20419	28798	20523
150622508	0	965	20405	28798	20565
150622608	0	904	20354	28803	20466
150622708	0	816	20335	28765	20438
150622808	0	783	20312	28714	20410
150622910	0	628	20190	28653	20471
150623009	0	581	20358	28592	20476
150623108	0	506	20143	28549	20462
150623208	0	426	20091	28507	20448
150623308	0	403	19936	28409	20443
150623408	0	445	19946	28531	20471
150623508	0	422	19875	28460	20448
150623608	0	412	19824	28409	20495
150623708	0	464	19739	28282	20415
150623808	0	478	19669	28282	20457
150623908	0	511	19613	28216	20396
150624008	0	553	19552	28151	20382
150624108	0	600	19491	28094	20382
150624208	0	647	19383	28039	20321
150624308	0	670	19336	27997	20340
150624408	0	699	19280	27884	20265
150624508	0	745	19219	27814	20208
150624608	0	876	19172	27757	20260
150624709	0	951	19111	27664	20269
150624808	0	1087	19055	27621	20115
150624908	0	1036	19055	27603	20011
150625007	0	1125	18971	27542	19969
150625108	0	1199	18971	27495	20021
150625208	0	1162	18952	27434	20082
150625308	0	1227	18957	27434	19979
150625408	0	1260	18924	27382	19988
150625508	0	1391	18933	27424	19946
150625609	0	1401	18919	27401	19946
150625708	0	1288	18900	27415	19983
150625808	0	1312	18896	27438	19960
150625908	0	1546	18905	27396	19974
150626008	0	1391	18891	27434	19969
150626108	0	1382	18877	27434	19997
150626208	0	1326	18844	27401	20002
150626308	0	1326	18877	27457	20040
150626408	0	1330	18877	27401	20049
150626508	0	1274	18872	27415	20035
150626609	0	1284	18868	27434	20030
150626708	0	1335	18849	27410	20063
150626808	0	1321	18849	27434	20082
150626908	0	1298	18849	27420	20091
150627012	0	1312	18825	27438	20054
150627109	0	1401	18793	27368	20101
150627208	0	1471	18760	27359	20119
150627309	0	1523	18703	27302	20152
150627409	0	1579	18628	27256	20133
150627508	0	1748	18544	27237	19993
150627608	0	2019	18431	27152	19857
150627708	0	2080	18356	27044	19964
150627808	0	2076	18207	27012	20091
150627908	0	2127	18118	26918	20049
150628008	0	2206	18052	26871	20054
150628108	0	6479	17925	26772	20054
150628208	0	6460	17832	26693	20086
150628308	0	2633	17686	26627	20082
150628408	0	2783	17555	26557	20133
150628508	0	2853	17433	26482	20161
150628607	0	2984	17325	26383	20190
150628708	0	3199	17152	26299	20194
150628809	0	3195	17025	26200	20166
150628908	0	3415	16885	26059	20176
150629008	0	6592	16791	25980	20218
150629108	0	3743	16613	25886	20213
150629208	0	3831	16495	25820	20269
150629309	0	6043	16322	25736	20283
150629408	0	4038	16200	25657	20344
150629509	0	4221	16059	25577	20373
150629608	0	4329	15919	25493	20391
150629708	0	4441	15764	25380	20410
150629808	0	4572	15610	25286	20410
150629907	0	5284	15502	25197	20457
150630009	0	4857	15356	25122	20480
150630108	0	6395	15183	25028	20490
150630208	0	7791	15070	24920	20546
150630308	0	7979	14873	24845	20593
150630408	0	7969	14714	24751	20611
150630508	0	5603	14616	24686	20630
150630609	0	5724	14541	24592	20667
150630708	0	6784	14339	24475	20691
150630808	0	6039	14203	24423	20714
150630908	0	8428	14001	24320	20761
150631008	0	8677	13865	24203	20789
150631110	0	8841	13749	24137	20897
150631208	0	6667	13580	24053	20907
150631308	0	6742	13463	24001	20991
150631408	0	9370	13289	23931	21038
150631508	0	7055	13120	23795	21094
150631608	0	7173	12989	23720	21090
150631708	0	7412	12862	23682	21165
150631808	0	7477	12708	23579	21216
150631908	0	8124	12530	23519	21296
150632008	0	9886	12389	23429	21348
150632108	0	8897	12234	23368	21427
150632209	0	9984	12066	23307	21502
150632308	0	10242	11911	23242	21549
150632409	0	10224	11822	23167	21573
150632508	0	10707	11649	23082	21610
150632608	0	8564	11494	23045	21648
150632708	0	8714	11363	22965	21685
150632808	0	8836	11288	22871	21770
150632908	0	9033	11142	22820	21826
150633008	0	13959	10987	22754	21868
150633108	0	15225	10880	22665	21914
150633208	0	9380	10777	22590	21999
150633308	0	9863	10561	22543	22041
150633408	0	11367	10435	22473	22121
150633509	0	11105	10280	22435	22215
150633608	0	10866	10153	22355	22243
150633706	0	10073	10012	22290	22276
150633806	0	10247	9868	22219	22337
150633906	0	10308	9741	22177	22383
150634006	0	10453	9628	22107	22398
150634106	0	10444	9502	22022	22477
150634208	0	10669	9380	22004	22519
150634306	0	10810	9281	21952	22637
150634406	0	10861	9165	21901	22656
150634507	0	11048	9066	21854	22707
150634606	0	11105	8935	21784	22763
150634707	0	11274	8822	21718	22773
150634806	0	11311	8724	21685	22740
150634906	0	11410	8677	21634	22782
150635006	0	15258	8602	21577	22876
150635106	0	11962	8532	21521	22871
150635210	0	13674	8475	21493	22848
150635306	0	12516	8447	21413	22904
150635407	0	11592	8428	21394	22867
150635508	0	11574	8391	21357	22857
150635608	0	11644	8320	21333	22876
150635706	0	11705	8274	21291	22899
150635808	0	11757	8180	21263	22965
150635908	0	11855	8082	21197	22989
150636008	0	11930	8021	21216	23068
150636108	0	11981	7946	21179	23082
150636206	0	11976	7955	21160	23110
150636315	0	12037	7918	21169	23110
150636406	0	12075	7932	21197	23134
150636508	0	12070	7885	21165	23115
150636607	0	12089	7899	21155	23139
150636706	0	12070	7880	21141	23176
150636808	0	12108	7852	21141	23171
150636908	0	12089	7805	21113	23148
150637006	0	12150	7791	21104	23143
150637107	0	12131	7739	21104	23157
150637206	0	12122	7721	21090	23129
150637306	0	12155	7754	21104	23148
150637406	0	12131	7754	21094	23129
150637506	0	12127	7805	21104	23101
150637606	0	12122	7810	21113	23073
150637706	0	12108	7871	21122	23054
150637806	0	12066	7908	21136	23021
150637906	0	12056	7885	21146	23026
150638006	0	12037	7941	21155	23059
150638106	0	12042	7908	21136	23045
150638206	0	12070	7913	21132	23026
150638306	0	12061	7908	21136	23082
150638407	0	12042	7908	21146	23064
150638506	0	12056	7899	21127	23035
150638606	0	12056	7885	21136	23096
150638707	0	12080	7894	21108	23068
150638806	0	12098	7885	21136	23064
150638906	0	12094	7913	21127	23073
150639006	0	12042	7890	21132	23059
150639105	0	12042	7946	21127	23059
150639206	0	12005	7965	21165	23050
150639310	0	11991	7993	21136	23017
150639406	0	11944	8030	21212	22979
150639507	0	11915	8082	21169	23012
150639606	0	11864	8087	21155	22965
150639707	0	11836	8110	21212	22965
150639806	0	11845	8133	21193	22956
150639906	0	11869	8115	21212	22979
150640006	0	11869	8133	21188	22960
150640106	0	11836	8115	21197	22932
150640206	0	11794	8110	21216	22923
